Processo,Ano,Tipo,Situação,Ementa,Protocolo,Data
6923,2021,Indicação,Tramitando,Solicita à SABESP - Companhia de Saneamento Básico do Estado de São Paulo que realize com urgência a manutenção da Estação Elevatória de Esgoto localizada no bairro Jardim Telespark.,9053,31/05/2021
6922,2021,Moção,Tramitando,"Manifesta apoio e solidariedade pela proteção imediata para o povo Yanomami  e, para que o Excelentíssimo Senhor Presidente da República Jair Messias Bolsonaro determine o cumprimento urgente das medidas administrativas em conformidade com a nota pública expedida pelo Conselho Federal da Ordem dos Advogados do Brasil - OAB.",9052,31/05/2021
6921,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal de São José dos Campos que faça a roçada e limpeza da área localizada no final da Rua Robert Marden Oliveira de Mello, no Jardim Interlagos, região Sul.",9051,31/05/2021
6920,2021,Requerimento,Tramitando,"Registra a atual situação da pandemia da covid-19 no Município de São José dos Campos e encaminha ao Prefeito Felício Ramuth, dando conta que o Município registrou recordes de contaminação, internação e mortes por covid-19 no mês de maio deste ano e solicita providências urgentes para evitar o colapso do sistema de saúde na cidade.",9050,31/05/2021
6919,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a realização do serviço de rastelação e limpeza na Área Verde Maria Conceição de Carvalho de Cerqueira, localizada na Avenida Ouro Fino, no bairro Bosque dos Eucaliptos. ",9049,31/05/2021
6918,2021,Indicação,Tramitando,"Solicita à Prefeitura, estudos para a implantação de rotatória na rua Brás Alves de Almeida, bairro Vila São Geraldo.",9048,31/05/2021
6917,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal providencias de combate as festas clandestinas denominadas "fluxo" na rua João Francisco da Silva, Jd. Cruzeiro do Sul.
",9047,31/05/2021
6916,2021,Indicação,Tramitando,Solicito à Prefeitura Municipal revitalização geral da área verde e implementos públicos da Avenida Domingos Maldonado Campoy - Parque Residencial Flamboyant.,9046,31/05/2021
6915,2021,Indicação,Tramitando,"INDICA à Prefeitura Municipal a efetivação de Serviço de Manutenção e Implantação de Benfeitorias na Praça Aldo Pires, no bairro Parque Industrial.",9045,31/05/2021
6914,2021,Indicação,Tramitando,"INDICA à Prefeitura Municipal, a execução de avaliação fitossanitária, eventual poda seletiva ou supressão, de elemento arbóreo situado à Rua Heitor de Andrade, contíguo ao nº 814, no bairro Jardim das Indústrias.",9044,31/05/2021
6913,2021,Moção,Tramitando,Registra e apoia as manifestações contra o Governo do Presidente Jair Bolsonaro que ocorreram no dia 26 de maio de 2021 em todo o Brasil e teve como tema "Vacina no Braço e Comida no Prato".,9042,31/05/2021
6912,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal de São José dos Campos que seja direcionada a sobra de vacina, chamada "Xepa da Vacina", aos portadores comorbidades e portadores de deficiência permanente (PCD) acima de 18 anos.",9041,31/05/2021
6911,2021,Indicação,Tramitando,Solicita à Prefeitura Municipal de São José dos Campos o serviço de remoção de lixo e entulho no bairro Jd. Telespark.,9040,31/05/2021
6910,2021,Moção,Tramitando,"Manifesta repúdio a ação violenta da Polícia Militar do Estado de Pernambuco que reprimiu de forma truculenta a manifestação contra o Governo Bolsonaro na Cidade do Recife, no dia 29 de maio de 2021.",9039,31/05/2021
6909,2021,Requerimento,Tramitando,"Solicita à Prefeitura Municipal de São José dos Campos, urgência no agendamento e realização da Hernioplastia Inguinal do paciente Silvio Natalino Xavier de Matos, inscrito no CRA 310334.",9038,31/05/2021
6908,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal o serviço de manutenção e reposição de areia do parquinho (Playground), localizado entre Avenida Thesis Gaia e Rua João Di Mônaco, no Jardim Castanheira, região Leste. ",9037,31/05/2021
6907,2021,Indicação,Tramitando,"Solicita à SABESP - Companhia de Saneamento Básico do Estado de  São Paulo, manutenção na tubulação de água com vazamento, na Rua Dr. Claudio Martins Miranda Chaves , Jardim São Vicente, São José dos Campos.",9036,31/05/2021
6906,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal, realização do serviço de capina, roçada e limpeza em toda extensão da rua Joaquim de Oliveira e Silva, n° 896, bairro dos Freitas. ",9035,31/05/2021
6905,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal, efetuar o serviço de limpeza e capina e roçada na Praça entre a Rua Professora Maria José de Oliveira e Rua Francisco Moreira de Souza, no Jardim Nova Michigan, região Leste.",9034,31/05/2021
6904,2021,Requerimento,Tramitando,"Solicita à Prefeitura Municipal, urgente realização de exame de Arteriografia Cerebral, para o paciente, Levi Souza Nóbrega, inscrito no CRA
636165.",9033,31/05/2021
6903,2021,Requerimento,Tramitando,Solicita à Prefeitura Municipal estudo visando regulamentar a atividade de catadores de recicláveis no Município.,9032,31/05/2021
6902,2021,Indicação,Tramitando,"Solicita à Prefeitura serviços de recomposição do calçamento em bloquetes da rua Maria Renata Alcantara Manfredini, em frete ao número 44, bairro Alto da Ponte.",9031,31/05/2021
6901,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal as providências cabíveis quanto a reforma e manutenção de ponto de ônibus, na Estrada do Jaguari, próximo à rua Antônio Vichi, bairro Jaguari.  ",9030,31/05/2021
6900,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a realização do serviço de poda de grama na Área Verde localizada na Rua Jales, no bairro Bosque dos Eucaliptos. ",9029,31/05/2021
6899,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a realização do serviço de recomposição de calçada localizada na Avenida Ouro Fino, defronte ao número 980, no bairro Bosque dos Eucaliptos.",9028,31/05/2021
6898,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a realização do serviço de poda de árvore na Rua Pollux, defronte ao número 280, localizada no bairro Jardim Satélite. ",9027,31/05/2021
6897,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a realização do serviço de rastelação e limpeza na Praça Pireu, localizada no bairro Jardim Satélite. ",9026,31/05/2021
6896,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a realização do serviço de limpeza de boca de lobo localizada na Rua Centralina, defronte ao número 13, no bairro Bosque dos Eucaliptos. ",9025,31/05/2021
6894,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a realização do serviço de rastelação e limpeza na Praça Arlindo Fernandes, localizada no bairro Jardim Satélite.",9023,31/05/2021
6893,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a realização do serviço de poda de árvore localizada na Rua Pollux, defronte ao número 180, no bairro Jardim Satélite.",9022,31/05/2021
6892,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a realização do serviço de rastelação e limpeza na Área Verde localizada na Avenida Cidade Jardim, defronte ao Condomínio Residencial Quinta das Flores, no bairro Bosque dos Eucaliptos. ",9021,31/05/2021
6891,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a realização do serviço de rastelação e limpeza na Praça Rubens Castilho, localizada no bairro Jardim Estoril.",9020,31/05/2021
6890,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a realização do serviço de rastelação e limpeza na pista de caminhada localizada na Avenida Cidade Jardim, defronte ao Condomínio Residencial Quinta das Flores, no bairro Bosque dos Eucaliptos. ",9019,31/05/2021
6889,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a realização do serviço de rastelação e limpeza na Praça Frei Dionísio, localizada no bairro Jardim Satélite. ",9018,31/05/2021
6888,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a realização do serviço de rastelação e limpeza na Praça José Benedito Lima, localizada no bairro Jardim Satélite. ",9017,31/05/2021
6887,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a realização do serviço de rastelação e limpeza na Área Verde "Roberto Monteiro", localizada no bairro Bosque dos Eucaliptos. ",9016,31/05/2021
6886,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a realização do serviço de rastelação e limpeza no Parque Ecológico "Hilto Martiniano", localizado no bairro Jardim Satélite.",9015,31/05/2021
6885,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a realização de limpeza na boca de lobo localizada na Rua Rômulo Séllos Rodrigues, defronte ao número 493, no bairro Jardim República. ",9014,31/05/2021
6884,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a realização do serviço de poda de árvore localizada na Rua Amâncio Mazzaropi, defronte ao número 111, no bairro Bosque dos Eucaliptos. ",9013,31/05/2021
6883,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a implantação de iluminação ornamental na área localizada entre a Rua Antônio Joaquim de Alvarenga e a Avenida Jorge Zarur, no bairro Jardim Satélite. ",9012,31/05/2021
6882,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a realização do serviço de recomposição de calçada localizada na Rua Lira, defronte ao número 1.011, no Jardim Satélite. ",9011,31/05/2021
6881,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a realização do serviço de urbanização, revitalização e paisagismo na área localizada entre a Rua Antônio Joaquim de Alvarenga e a Avenida Jorge Zarur, no bairro Jardim Satélite. ",9010,31/05/2021
6880,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a realização do serviço de plantio de grama na área localizada entre a Rua Antônio Joaquim de Alvarenga e a Avenida Jorge Zarur, no bairro Jardim Satélite. ",9009,31/05/2021
6879,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a implantação de pista de caminhada na área localizada entre a Rua Antônio Joaquim de Alvarenga e a Avenida Jorge Zarur, no bairro Jardim Satélite. ",9008,31/05/2021
6878,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a realização do serviço de canalização e escoamento de água entre a Rua Antônio Joaquim de Alvarenga e a Avenida Jorge Zarur, no bairro Jardim Satélite. ",9007,31/05/2021
6877,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal, serviços de tapa buraco e manutenção na rua Brás Alves de Almeida, bairro Vila São Geraldo. ",9006,31/05/2021
6876,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal, poda de árvore na rua Dois, n° 145, bairro Pedra D’água 2.",9005,31/05/2021
6875,2021,Indicação,Tramitando,"Solicita à Prefeitura, serviço de pintura de solo e colocação de placas de sinalização de trânsito na rua José Savastano Neto, bairro Altos dos Ypês.  ",9004,31/05/2021
6874,2021,Indicação,Tramitando,"Solicita à Prefeitura, estudos técnicos para implantação de lombada na Avenida Joaquim Moreira Ávilla, próximo ao número 271- bairro Jd. Minas Gerais.",9003,31/05/2021
6873,2021,Indicação,Tramitando,"Solicita à Prefeitura, estudos para a implantação de placa de ‘’Proibido Estacionar’’ e pintura de solo na Avenida Condé Francisco Matarazzo, n° 273 com a viela Taquaral, bairro Jardim Telespark.",9002,31/05/2021
6872,2021,Indicação,Tramitando,"Solicita à Prefeitura, estudos técnicos para implantação de radar e sinalização de controle de velocidade na Avenida Joaquim Moreira Ávilla, próximo ao número 271- bairro Jd. Minas Gerais.",9001,31/05/2021
6871,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal, serviço de troca de lâmpada queimada na rua Olívio Gomes, n° 46, bairro Vila Alexandrina.",9000,31/05/2021
6870,2021,Indicação,Tramitando,"Solicita à Prefeitura, estudos para a implantação de iluminação LED por toda a extensão da pista de caminhada e ciclovia na Av. José Marcondes Pereira, bairro Santana (Via Norte).",8999,31/05/2021
6869,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal, nivelamento e cascalhamento por toda a extensão da rua José Gonçalves Sobrinho, n° 61, bairro Altos do Caetê I.",8998,31/05/2021
6868,2021,Indicação,Tramitando,"Solicita à Prefeitura as providências quanto à limpeza do terreno da rua José Gonçalves Sobrinho, ao lado do n° 61, bairro Altos do Caetê I.  ",8997,31/05/2021
6867,2021,Indicação,Tramitando,"Solicita à Prefeitura serviços de poda de árvore na rua Serra dos Carajás, n° 145, bairro Altos de Santana.",8996,31/05/2021
6866,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal, providências necessárias e cabíveis, para conter a erosão por toda a extensão da rua dos Incas, bairro Chácara boa vista.      ",8995,31/05/2021
6865,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal, realização do serviço de capina, roçada e limpeza em toda extensão da rua dos Incas, bairro Chácara Boa Vista.      ",8994,31/05/2021
6864,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal, serviços de tapa buraco e manutenção de antipoeira ou similar, por toda extensão da rua 05, bairro Chácara Oliveiras.",8993,31/05/2021
6863,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal, serviços de tapa buraco e manutenção de antipoeira ou similar, na travessa dos Freitas, bairro Freitas.",8992,31/05/2021
6862,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal, serviços de tapa buraco e manutenção de antipoeira ou similar, na terceira travessa, Antônio Vichi, bairro Jaguari. ",8991,31/05/2021
6861,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal, melhorias na iluminação com a troca por lâmpadas LED no Condomínio Girassol, rua Anna Ortega Traballi, n° 30, Vila São Geraldo. ",8990,31/05/2021
6860,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal, serviços de tapa buraco e manutenção de antipoeira ou similar, na Estrada do do Florindo, próximo ao n° 1450, bairro Buquirinha 2.  ",8989,31/05/2021
6859,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a troca da lâmpada queimada na Rua Santo Inácio de Loyola, em frente ao número 372, no bairro Jardim Oriente. ",8988,31/05/2021
6858,2021,Requerimento,Tramitando,"Solicita ao 46º BPM intensificar policiamento na Praça Yamagata, no Jardim Oriente.",8987,31/05/2021
6857,2021,Requerimento,Tramitando,"Solicita ao 46º BPM intensificar policiamento na Praça em frente a Avenida José de Resende, no bairro Jardim Sul.",8986,31/05/2021
6856,2021,Moção,Tramitando,Congratula-se com a Sua Reverência o Senhor Padre Célio Antônio de Almeida pelo seu ANIVERSÁRIO NATALÍCIO.

,8985,31/05/2021
6855,2021,Moção,Tramitando,Congratula-se com a Sua Reverência o Senhor Padre Dimas Eugênio Barbosa pelo seu ANIVERSÁRIO SACERDOTAL.

,8984,31/05/2021
6854,2021,Moção,Tramitando,Congratula-se com a Sua Reverência o Senhor Padre Luciano Barbosa pelo seu ANIVERSÁRIO NATALÍCIO.

,8983,31/05/2021
6853,2021,Moção,Tramitando,Congratula-se com a Sua Reverência o Senhor Padre Marcos Aurélio Guimarães Rabello pelo seu ANIVERSÁRIO SACERDOTAL.

,8982,31/05/2021
6852,2021,Moção,Tramitando,Congratula-se com a Sua Reverência o Senhor Padre Raimundo Paulo de Siqueira pelo seu ANIVERSÁRIO SACERDOTAL.

,8981,31/05/2021
6851,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal o serviço de desratização nas bocas de lobo localizadas na Rua Santo Expedito com as Ruas Homero Malinverno e Geraldo de Moraes, no bairro Residencial União.",8980,31/05/2021
6850,2021,Moção,Tramitando,Congratula-se com a Sua Reverência o Senhor Padre Roberto Lessa pelo seu ANIVERSÁRIO NATALÍCIO.

,8979,31/05/2021
6849,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal o serviço de melhorias na rotatória localizada na Rua Arcílio Moreira da Silva com a Rua Francisco Rosa Marques, no bairro Residencial União.",8978,31/05/2021
6848,2021,Indicação,Tramitando,"Solicita à Prefeitura Municipal a limpeza das bocas de lobo localizadas na Rua Santo Expedito com as Ruas Homero Malinverno e Geraldo de Moraes, no bairro Residencial União.",8977,31/05/2021
6847,2021,Indicação,Tramitando,Solicita à Prefeitura Municipal a realização de campanha de conscientização de separação dos resíduos recicláveis no Munícipio.,8976,31/05/2021
